Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
Global Payments Inc,"VP, Database and Application Services",globalpayments.com/,GA,500m,Banking / Finance,Payment processing,"10,000+ employees",$5B+,Over 70,6000+,500+,100+,"Windows, Linux, Aix, Solaris, etc",Oracle,Google,yes,no,my responsibilities will in and around database and application.,yes,yes,in the process of migrating our app work workload into gcp cloud,no,no,0,yes,no,i am responsible for the infrastructure and operations side of data/database mgmt.,no,no,0,no,no,0,no,no,0,yes,yes,need help with all the initiatives mentioned above,yes,yes,need help on talent mgmt with all the initiatives mentioned above,",Application Security and WAFCloud Security,Data Loss ProtectionData SecurityDisaster / Backup Recovery,Encryption,ZerotrustRansomwareWeb Security","Backup/Disaster RecoveryCloud Migration ServicesDev-OpsERP,",",","Backup/Disaster RecoveryBig Data & Analytics,Data Governance & MDMData Warehousing,Encryption,Hyper-converged Infrastructure (HCI),Server Storage",",",",",",",",Application ModernizationCloud Workload and MigrationDatabase ModernizationStaffing / Recruiting,Technology Lifecycle Management,","IT Advisory / Analyst SupportLeadership coaching,Staffing - Outsourced staffing – Project based,Staffing - Permanent to hire IT staffingStaffing - Staff Retention,Team Efficiency and Effectiveness Training,Workload Prioritization/ Employee Burnout Prevention",Spring 22,,,,,
Gossamer Bio,"Senior Director, Information Security, Risk & Compliance",gossamerbio.com,CA,$1m,Healthcare / Hospital,Biotech,250-500 employees,$100M-$250M,2,0,0,0,0,0,Azure,yes,yes,dlp and insider risk management,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,yes,no,enhanced cybsec training,",Cloud Security,Data Loss ProtectionData SecurityEmployee monitoring - Insider Threat DetectionZerotrust,Phishing,Ransomware,SIEM,SOAR - Security Orchestration Automation and Response",",",",",0,",",",",",",",",",IT Training Software for staff : Cybersecurity,",Spring 22,,,,,
HPE/ SilverPeak Aruba,Information Security,com,CA,1,High Tech,Wireless products,"10,000+ employees",$100M-$250M,multiple,0,0,0,0,0,Hybrid,yes,yes,#NAME?,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,"Identity & Access ManagementZerotrust,Privileged Access Management,Security Incident Response",",",",",0,",",",",",",",",0,Spring 22,,,,,
HPP,CISO-Manager Information Security,healthpartnersplans.com/,PA,0,Healthcare / Hospital,Medical Insurance,500-1000 employees,$1B-$5B,2,70,6,0,5,0,Azure,yes,yes,we are expanding/migrating our on prem servers/vdi into azure avs/avd. we need to confirm and enhance security around it.,yes,yes,we are expanding/migrating our on prem servers/vdi into azure avs/avd. - considering setup options.  we are also using a dated service management solution and need to replace.,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,",Cloud Security,Zerotrust","Cloud Migration Services,IT Service Management (ITSM),Virtual Machines,",",",0,",",",",",",",",0,Spring 22,,,,,
Hawthorne Residential Partners,IT Director,hrpliving.com,NC,"10,000",Other,Multi-Family Housing,500-1000 employees,$50M-$100M,2,10,1,0,0,0,Azure,yes,no,byod,yes,no,byod,no,no,0,no,no,0,no,no,0,yes,no,byod,yes,no,byod,yes,no,nothing at the moment,yes,no,0,",Network Security - FirewallNetwork Security - Monitoring & forensicsPhishing,RansomwareSecurity Incident ResponseSOAR - Security Orchestration Automation and Response","Backup/Disaster Recovery,Business IntelligenceDocument Management Systems,IoT,IT Service Management (ITSM)",",",0,",",",",",",",",0,Spring 22,,,,,
Health Carousel LLC,Director of Technology,healthcarousel.com/,OH,2 million,Healthcare / Hospital,"Travel Nurse, Locums and various other Healthcare staffing",500-1000 employees,$250M-$500M,11,45,2,400,Windows 10 // Windows 11,SAP,Azure,no,no,0,yes,no,0,yes,no,0,yes,no,0,no,no,0,yes,no,0,yes,no,0,yes,yes,0,yes,yes,0,0,",",",",0,",","Unified Communications,",",",",",0,Spring 22,,,,,
Holdenville General Hospital,IT Specialist,holdenvillehospital.com/,OK,1000000,Healthcare / Hospital,Health services,100-250 employees,Less than $50M,4,5,2,0,Windows,0,AWS,yes,yes,more information of what is available to build and maintain infastructure,yes,yes,looking to avay the cloud,yes,yes,too many to count not enough to worry about,yes,yes,none at this time,no,no,0,yes,yes,avya for the cloud,yes,yes,0,no,no,0,yes,yes,0,"Data SecurityDisaster / Backup RecoveryEmployee monitoring - Insider Threat Detection,Network Security - Firewall,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat ManagementPenetration Testing and SimulationPhysical Security - Surveillance and Access ControlRansomwareThreat Intelligence,User behavior monitoring,",",IT Service Management (ITSM),Managed File Transfer,","Artificial Intelligence & Machine Learning,",Backup/Disaster RecoveryData CleansingEncryption,",","Business SMS and MMSCloud based phone systems (VOIP)Enterprise Mobility Management,Video Conferencing",",Data Center NetworkingNetwork ConnectivityRoutingSwitchingWAN,WIFI,Wireless",",","IT Advisory / Analyst Support,IT Asset Management,IT Certificates,IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software,IT Training Software for staff : IT Operations,Leadership coaching,Staffing - Outsourced staffing – Project based,Staffing - Permanent to hire IT staffing,Staffing – Permanent to hire Cybersecurity staffing,Staffing - Staff Retention,Team Efficiency and Effectiveness Training,Workload Prioritization/ Employee Burnout Prevention",Spring 22,,,,,
Hotwire Global,"EVP, Technology and Innovation",hotwireglobal.com,NY,500000,Media / Marketing / Advertising,"Public Relations, Industry Insights, Thought Leadership, Account Based Marketing",250-500 employees,$50M-$100M,9,7,1,3,"MacOS, and Windows",Salesforce,AWS,yes,yes,we would like to investigate how to reduce the number of authenticators our staff needs to log into all of the different services and tools we have and still keep secure.,yes,no,none,yes,yes,we are looking into the best way to keep our staff agile in the new workplace. looking for solutions that bring the in-person experience to those working remotely.,no,no,0,no,no,0,no,no,0,no,no,0,yes,no,none,yes,no,"with the ""great resignation"", i have lost most of my staff and i need to onboard staff quickly as well as upskill.  looking for solutions on how to keep my staff engaged, trained, and reduce burn-out.","Identity & Access Management,Multi-factor authentication,Penetration Testing and Simulation",",",",Digital Transformation,Robotic Process Automation (RPA),",0,",",",",",","Business IntelliganceCloud EnablementDigital Transformation (Analytics, AI)Technology Lifecycle Management,",",IT Asset Management,IT Training Software for staff : Software,IT Training Software for staff : IT Operations,Leadership coaching,Staffing - Outsourced staffing – Project based,Staffing - Permanent to hire IT staffing,Team Efficiency and Effectiveness Training,Workload Prioritization/ Employee Burnout Prevention",Spring 22,,,,,
Hudson Regional Hospital,Chief Information Officer,hudsonregionalhospital.com,NJ,1 million,Healthcare / Hospital,"Healthcare provider. Acute, ASC and Ambulatory.",500-1000 employees,$100M-$250M,1,15,2,4,windows 10 pro,Meditech and ADP,AWS,yes,yes,biomed devices security,no,no,0,yes,yes,evaluation in progress. would like to meet some startups in healthcare it who we can partner with on some innovative pilot projects.,yes,no,0,no,no,0,yes,no,0,yes,yes,wireless infrastructure upgrade,yes,no,0,yes,no,0,0,",","Artificial Intelligence & Machine LearningDigital Customer Experience Optimization,Digital Transformation,Robotic Process Automation (RPA),",0,",",",","WIFI,Wireless",",",",IT Asset Management,Staffing - Staff Retention",Spring 22,,,,,
ITW Diagraph,Global IT Manager,diagraph.com,MO,1.2M,Manufacturing / Natural Resources,We manufacture industrial injet printers,500-1000 employees,$100M-$250M,6,12,0,25,Win10,ECI Macola,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,0,",",",",0,",",",",",",",",0,Spring 22,,,,,
Infinera,CISO,infinera.com,CA,"500,000",High Tech,Telecommunication Equipment,"5000-10,000 employees",$1B-$5B,60,50,10,0,0,0,AWS,yes,no,budget,yes,yes,budget,yes,no,budget,yes,no,budget,yes,no,budget,yes,no,budget,yes,no,budget,no,no,0,yes,no,budget,0,",",",",0,",",",",",",",",0,Spring 22,,,,,
Intel,Software Engineering Director,intel.com,CA,100M+,High Tech,"Hardware, microprocessors, FPGA, compiler, ASIC, sensors , memory, software, drivers","10,000+ employees",$5B+,10+,0,0,0,0,0,0,yes,yes,"working in the zero trust environment, data protection, encryption - handling of private keys, using cloud to extend internal farm",yes,yes,"deploying applications in the private/public cloud. license handling, latency, security",yes,yes,ai and ml for data processing,no,no,0,yes,yes,"automation for gui testing, software compliance (open source) , cloud deployment (licensing)",no,no,0,no,no,0,yes,yes,developing of cloud based solution,no,no,0,",Cloud Security,Data Security,Encryption,Zerotrust","Connect CloudSaaS Management,","Artificial Intelligence & Machine Learning,",0,"Automation Testing Software,CloudOpen Source,Software Compliance,",",",",","Software / Application Development,",0,Spring 22,,,,,
Jose Peppers LLC,Director IT,josepeppers.com,KS,800k,Travel / Hospitality / Recreation / Entertainment,"Tex Mex restaurant. Table service, full liquor beer and wine menus. Online ordering, gift cards, loyalty, etc.",500-1000 employees,Less than $50M,16,1,1,3,win10,0,Azure,yes,no,pci,yes,yes,getting rid of physical azure server in office and moving away from vpn.  want to throw everything in to dropbox/365 securely,yes,no,ipad pos conversion,yes,no,how to share between restaurants and office without a physical azure server in a closet,no,no,0,yes,no,"work from home is difficult for our office and it should not be. _x000D_
secure filesharing is all they need",yes,yes,"20-30 year old buildings with loads of old cabling, old equipment, wires, clutter, etc. _x000D_
i need an it demo job before i can do any it install jobs. _x000D_
who can clean/prep a site for cable runs, network equipment installation?",yes,no,convincing owner that you get what you pay for/spend money to make money,yes,no,how to train restaurant managers to be able to effectively navigate and troubleshoot their computers/apps/etc.,0,"Backup/Disaster Recovery,Document Management Systems,Managed File Transfer,Mobility,SaaS Management,Storage",",",0,",",",",",Routing,SD-WAN,SwitchingWAN,WIFI,",",Application Modernization,Technology Lifecycle Management,Vendor Evaluations",0,Spring 22,,,,,
Jtekt North America Corporation,IT Manager,jtekt-na.com/,SC,not interested,Manufacturing / Natural Resources,Automotive Equipments,"5000-10,000 employees",$1B-$5B,not interested,not interested,not interested,not interested,not interested,Oracle,0,no,no,0,no,no,0,no,no,0,yes,yes,"master data management issues._x000D_
_x000D_
focus data management , business intelligence",yes,yes,stress testing issues,no,no,0,no,no,0,yes,no,finding talent,no,no,0,0,",",",",",BI Dashboard & ReportingBusiness Intelligence,Business Process ManagementData Cleansing,Data Governance & MDM,Data Integration & Access,Data Quality,Data Visualization,Data Warehousing,","Automation Testing Software,",",",",",",",0,Spring 22,,,,,
Justice Federal Credit Union,SVP - IT,jfcu.org,VA,$2M,Banking / Finance,"Banking_x000D_
Mortgage loan_x000D_
Consumer loans",100-250 employees,$50M-$100M,22,17,2,12,"Windows, Linux",0,Azure,yes,yes,"we are looking to move to cloud based backup solution. currently, all the backup is in-house and on-prem.",yes,yes,"due-diligence for voip solution_x000D_
cloud backup system",yes,yes,"improve online banking adoption rate_x000D_
improvise contact center solution",no,no,0,no,no,0,yes,yes,"replace current pri lines with voip solution_x000D_
evaluate ms teams as a potential phone solution",yes,yes,due-diligence to replace mpls with sd-wan,no,no,0,yes,no,expand skill set of the team,",Cloud SecurityData Center Security,Disaster / Backup Recovery","Backup/Disaster Recovery,Business Intelligence,SaaS Management,","Digital Customer Experience Optimization,Digital Transformation,Robotic Process Automation (RPA),",0,",","Cloud based phone systems (VOIP),Contact Center Optimization,Unified Communications,","SD-WAN,",",",0,Spring 22,,,,,
KCAS,"Director, Information Technology",kcasbio.com,KS,250k,Other,Biotech services,100-250 employees,Less than $50M,3,5,1,0,Varies,Dynamics GP,0,yes,yes,"we just acquired another company.  as we grow looking at third party risk, and email compliance will be important.",yes,no,no additional plans,yes,no,no additional plans,yes,no,we recently expanded capabilities,no,no,0,yes,no,we are in the middle of a migration already,yes,no,with a new building we have already added needed resources.,no,no,0,yes,yes,a new acquisition will have us re look at support at the new location.,",Email SecurityRisk & ComplianceThird Party Cyber Risk Management,",",",",",0,",",",",",",",",",Staffing - Outsourced staffing – Project based,Staffing - Permanent to hire IT staffing",Spring 22,,,,,
