Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
Penquis,IT Director,penquis.org,ME,500000,Non-Profit,"Our efforts are focused on helping families and communities make measurable improvements in five areas: financial security, reliable transportation, stable housing, school readiness, and safe, nurturing environments for children and families.",500-1000 employees,$50M-$100M,30,5,5,0,Windows 10 and Server 2016-2019,0,Azure,"while i would think we are 'fine' on most fronts, it always pays to be aware of emerging systems. i've selected the areas of concern i have above, and we don have some long standing contracts in place, but am always looking for things to be done better. we are a nonprofit so finances will always be a challenge. i am concerned about our 'human firewall' and am attempting to increase our phishing training.",we are just stepping into azure ad integration. will likely increase our presence here but are hesitant of the costs to be incurred. looking to host more information securely in a web portal (possibly sharepoint) to minimize the need for vpn connections to access important data.,"we investigated darktrace, but pandemic operations skewed it's result. machine learning can most effectively identify a typical patters that could indicate inappropriate behavior/network access.","making our files more easily accessible without needing vpn connection, one drive is nice but caters more to the individual, sharepoint is being used, but has equal flaws. data security is a concern once it is on the cloud.",we are shifting from maas360 to verizon's mdm. would review alternatives pros/cons.,"we have an existing contract with mitel, but need to adopt to newer technologies like video conferencing. texting or sms applications are being inquired about. have purchased a trial of reach but would love to know more about this application and major providers.","ae are looking at increasing our sharepoint site, or utilizing another means of company data collaboration without the need for vpn connection. we have just purchased fortinet firewalls, with sd wan capability, would be interested in learning more about this technology and it's cost savings possibilities.",we do not plan to outsource consulting further than we already have.,"training is always important. i have been disappointed by the 'encyclopedia' training offerings we have used where upon purchasing a subscription hundreds of courses are available, but no 'path' that should be taken. looking at more individualized trainings.",Spring 22,9,2,3,5,6,2
Philadelphia international airport,Chief information officer,phl.org,PA,14000000,Transportation,Enable airline passengers a quality experience,"10,000+ employees",$5B+,2,60,4,0,Windows,Will be workday,Azure,0,developing s data warehouse and bi integration,"data analytics
digital signage
automated data automation","data warehousing
dashboards",not applicable,0,implementation if das,0,0,Spring 22,0,0,0,1,0,0
Point Breeze Credit Union,VP IT/Security,pbcu.com,MD,1.4 million,Banking / Finance,Basic banking needs for individuals and businesses,100-250 employees,Less than $50M,5,3,3,40,Windows,0,0,siem or socaas or xdr solution,0,0,0,0,0,0,0,0,Spring 22,4,0,0,0,0,0
Prairie State Generating Company,Senior Manager of IT,prairiestateenergycampus.com/,IL,$1.5M,Other,"Power generation for 9 municipalities that own Prairie State Generating Company, LLC.",500-1000 employees,Less than $50M,1,7,7,0,Windows 10/11 Enterprise,Maximo,Azure,we continue to grow our cybersecurity posture through maturing processes and hardened systems.  at this point my focus is on validating what we are doing and identifying any weaknesses in our approach.,0,0,we have no current challenges.,i have interest in apis for the purpose of easier creation from multiple systems but in particular maximo.  i am always interested in finding ways to make secure mobile apps for my users.,"we already subscribe to microsoft 365 so intune is the direction we plan on going.  however, i am interested in what else would be comparable.",the only efforts planned in the next 12 months is to move the company intranet from a standalone internal webservice to sharepoint 365,0,i am in the process of developing a resource to replace me in a few years when i retire (6 - 10 years).  training and development is always a key topic to discuss.,Spring 22,3,1,3,2,2,1
Premise Health,"Director, IAM",premisehealth.com,TN,500K,Healthcare / Hospital,Onsite healthcare,"5000-10,000 employees",$500M-$1B,50,0,0,0,0,0,AWS,maturity for iam program.,0,0,0,0,0,0,0,0,Spring 22,0,0,0,0,0,0
Proliance Surgeons,Chief Information Officer,proliancesurgeons.com,WA,600000,Healthcare / Hospital,Specialty Orthopedic Surgery and Care,1000-5000 employees,$250M-$500M,80,38,3,245,Windows 10,UKG,Azure,"looking at everything, including what we have today",0,0,data and analytics solutions!,0,none,0,0,staffing!,Spring 22,0,0,0,0,0,0
PsiQuantum,Head of IT and Security,psiquantum.com,CA,2000000,High Tech,We are building the first practical Quantum Computer,250-500 employees,$500M-$1B,3,0,0,0,0,0,AWS,"data loss prevention is a top concern.
how to secure a highly disperse workforce",0,0,0,0,0,0,0,"how to manage a global team.  
how to prepare to join boards",Spring 22,0,0,0,0,0,0
Puyallup Tribal Health Authority,Health Technology Director,eptha.com,WA,$NA,Healthcare / Hospital,"Healthcare in clinic and remote, ambulatory including physical, mental and emotional care and support.",100-250 employees,Less than $50M,2,13,1,0,Windows on VMWare,NextGen,0,"as a healthcare organization, we are constantly trying to solve the problem of data security.  how can we interact with patients and with vendors and maintain all sensitive data in a secure fashion.  this includes file sharing, texting and email communications.
we also have a push for better cybersecurity, ensuring that we have the appropriate layers and controls between our users and our applications.  we need to improve the ability to view and control traffic, especially malicious traffic.","as mentioned before, we are looking for a solution for secure document management and sharing.  we need to replace our old on-premise solution that is basically just a file server.  the new solution needs to be for both internal and external communication, all with trusted employees, partners or patients.",0,"we are expanding our backup and dr services, which requires expansion of services and features.","we are a small shop with very few actual needs for development, but my staff does a great job with devops.  we need to improve our processes.",we have a legacy on-site pbx and need to convert to ucaas.  this transition will include a complete conversion of our internal communication systems.,always looking to improve our wireless security and controls.,0,n/a.,Spring 22,6,2,1,3,3,2
"Q-Centrix, LLC","Director, IT",q-centrix.com,IL,1000000,Healthcare / Hospital,SaaS application,1000-5000 employees,Less than $50M,2,0,0,0,0,0,AWS,"looking to expand out cybersecurity footprint, harden our infrastructure","looking to expand out cybersecurity footprint, harden our infrastructure",0,0,0,0,0,0,"looking to expand out cybersecurity footprint, harden our infrastructure",Spring 22,6,0,0,6,0,0
R J Corman,IT Director,rjcorman.com,KY,250000,Transportation,Railroad emergency services and support,1000-5000 employees,Less than $50M,1,0,0,0,0,0,Azure,ransomware and other threat prevention / avoidance.,0,0,0,0,0,0,0,ransomware and other threat prevention / avoidance.,Spring 22,2,0,0,0,0,0
Revolution Lighting Technologies,Director of Information Technology,"rvlti.com , tristateled.com , energysource.com",CT,1.2m,Professional Services,"New lighting solutions, retrofitting, energy efficiency.",250-500 employees,$100M-$250M,7,4,0,15,Windows,"INFOR, Epicor and Intuit",Azure,we are needing to have a cybersecurity audit performed on our azure infrastructure. we are also looking at a new edr,"we are looking for a new cloud backup provider asap
new helpdesk/itsm solution in the next 2-3 months",0,looking to get more visibility into all the traffic and data across our storage infrastructure,0,"we are looking for a new voip provider, to see if we can save money after being with our current company for 4+ years.",we are interested in getting a company intranet up and running this summer.,0,"we are struggling to find training for our company size, that is not cost prohibitive. 
main areas we are focusing on is certificates, burnout prevention/efficiency training and asset management.",Spring 22,6,1,0,6,4,0
Rockefeller University,CISO,rockefeller.edu,NY,4000000,Healthcare / Hospital,biomedical research,1000-5000 employees,$250M-$500M,2,75,8,15,windows and MAC,oracle,AWS,mfa edr xdr nac ransomeware,helpdesk,0,big data,0,0,na,na,na,Spring 22,3,0,1,1,1,0
Rush University Medical Center,Cybersecurity Director,rush.edu,IL,70M,Healthcare / Hospital,Academic Medical Center,"10,000+ employees",$1B-$5B,5,200,20,30,Win10,Infor Lawson,Azure,"iam
dlp
soar
pam",0,0,0,0,0,0,determining gaps across all of it over the next 6 months,tbd as we move through a new prioritization with a new cio,Spring 22,1,0,0,0,1,0
"Ryan, Swanson & Cleveland",Technology Director,ryanswansonlaw.com,WA,500000,Professional Services,"Legal Practice spanning Real Estate, Estate Planning, Immigration, Business, Intellectual Property, Litigation and Employment law.",100-250 employees,Less than $50M,1,3,0,0,Windows 10,0,Hybrid,the over-abundance of options makes it difficult to choose an effective and complete security stack while making sure effective dollars are spent.,"our firm is moving offices soon and will need a co-location to house our servers.  i am researching sase and sd-wan solutions, moving away from our current one location, one firewall environment.",0,currently looking to obtain iso 27001 for the firm.,0,0,as above... new office and a new way of connecting it all together.,0,0,Spring 22,4,0,0,1,1,0
SAGE Publishing,CTO,sagepub.com,CA,25000000,Other,"electronic content and resources for students, teachers, researchers and libraries.",1000-5000 employees,$250M-$500M,8,160,4,10,windows,0,Azure,0,"training the current staff, determining roles and responsibilities, deciding on vendors, vendor management, cost management and implications of cloud, cloud security","we are always trying to evaluate practical and effective use of ai adn ml. we are in the middle of the digital transformation, especially since covid.",0,we are looking at bringing on and evaluating new development partners in the next year and changing the way we manage and run our development teams.,0,0,we are looking at bringing on and evaluating new development partners in the next year and changing the way we manage and run our development teams.,"we are investing more in our staff and battling the staff exodus. we will be making decisions on new training platforms and looking at other ways to add value to our staff, train, mentor and evolve the skills we currently have.",Spring 22,4,2,0,6,7,4
SAP,DIRECTOR,WWW.SAP.COM,CA,5000000,High Tech,ERP software,"10,000+ employees",$5B+,100,5000,500,500,"windows, linux",sap,AWS,email security - bec,"security, public private cloud migration",0,encryption at rest,0,0,0,0,0,Spring 22,3,0,0,2,4,0
SBG,Information Security Manager,sbgtv.com,MD,15M,Media / Marketing / Advertising,Local News/Sports TV Broadcasts,"10,000+ employees",$1B-$5B,~200,75,9,0,0,0,Azure,"we are currently looking to establish new application security and 3rd party cyber risk assessment programs to bolster our security vulnerability management program. some staff on our team has some experience with rapid 7s appsec platform, but we are looking to review all offerings within this space.",0,0,0,0,0,0,0,0,Spring 22,2,1,0,0,1,1
